id;institution_id;campus_name;region_id;level_id;address;major_id;name;accredited;accredited_years;area_id;duration;duration_type;tuition;application_type;shift;entry_req;benefits;vacancies;repostulacion
I11S1C273J2V1;11;;NA;3;NA;211;LICENCIATURA EN CINE DOCUMENTAL Y REALIZACION CINEMATOGRAFICA;1;4;3;4;SEMESTRES;2889000;NA;2;NA;1;NA;NA
I11S1C279J2V1;11;;NA;3;NA;201;PROGRAMA DE SEGUNDA TITULACION EN PSICOLOGIA;1;4;5;4;SEMESTRES;3038500;NA;2;NA;1;NA;NA
I11S1C280J2V1;11;;NA;3;NA;216;PROGRAMA ESPECIAL DE TITULACION EN SOCIOLOGIA;1;4;5;4;SEMESTRES;2538500;NA;2;NA;1;NA;NA
I11S1C281J2V1;11;;NA;3;NA;389;PROGRAMA ESPECIAL DE TITULACION EN TRABAJO SOCIAL;1;4;5;4;SEMESTRES;2238500;NA;2;NA;1;NA;NA
I11S1C282J2V1;11;;NA;3;NA;38;PROGRAMA ESPECIAL EN AUDITORIA;1;4;1;4;SEMESTRES;2338500;NA;2;NA;1;NA;NA
I11S1C283J2V1;11;;NA;3;NA;83;PROGRAMA ESPECIAL EN INGENIERIA COMERCIAL;1;4;1;4;SEMESTRES;3038500;NA;2;NA;1;NA;NA
I11S1C285J2V1;11;;NA;3;NA;188;PROGRAMA SEGUNDA TITULACION DE PEDAGOGIA EN EDUCACION BASICA, CON ENFOQUE EN PRACTICAS INCLUSIVAS PARA EL APRENDIZAJE;1;4;7;4;SEMESTRES;2338500;NA;2;NA;1;NA;NA
I426S1C1J4V2;426;;13;1;NA;256;ADMINISTRACION EN COMERCIO EXTERIOR;1;3;1;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I426S1C26J1V3;426;;13;1;NA;242;MARKETING Y GESTION COMERCIAL;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I20S1C115J2V2;20;;NA;3;NA;77;INGENIERIA CIVIL INDUSTRIAL;1;5;10;10;SEMESTRES;4809000;NA;2;NA;0;NA;NA
I11S1C3J2V1;11;;NA;3;NA;389;TRABAJO SOCIAL;1;4;5;10;SEMESTRES;2388000;NA;2;NA;1;NA;NA
I20S1C115J4V3;20;;NA;3;NA;77;INGENIERIA CIVIL INDUSTRIAL;1;5;10;7;TRIMESTRES;5402000;NA;4;NA;0;NA;NA
I426S1C28J2V3;426;;13;1;NA;338;PREVENCION DE RIESGOS;1;3;10;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I20S1C12J2V1;20;;NA;3;NA;4;INGENIERIA EN ADMINISTRACION DE EMPRESAS;1;5;1;8;SEMESTRES;3455000;NA;2;NA;0;NA;NA
I20S1C12J2V2;20;;NA;3;NA;4;INGENIERIA EN ADMINISTRACION DE EMPRESAS;1;5;1;6;TRIMESTRES;3949000;NA;2;NA;0;NA;NA
I11S1C75J2V2;11;;NA;3;NA;199;PROGRAMA ESPECIAL DE TITULACION EN PERIODISMO;1;4;5;4;SEMESTRES;3086000;NA;2;NA;1;NA;NA
I11S1C77J2V2;11;;NA;3;NA;190;PROGRAMA DE SEGUNDA TITULACION PEDAGOGIA EN EDUCACION DIFERENCIAL MENCION TRASTORNOS ESPECIFICOS DEL LENGUAJE ORAL;1;4;7;4;SEMESTRES;1918000;NA;2;NA;1;NA;NA
I426S1C40J1V3;426;;13;1;NA;306;CONTROL DE GESTION;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I11S1C7J2V1;11;;NA;3;NA;201;PSICOLOGIA;1;4;5;10;SEMESTRES;3376000;NA;2;NA;1;NA;NA
I20S1C1J2V2;20;;NA;3;NA;83;INGENIERIA COMERCIAL;1;5;1;6;TRIMESTRES;5444000;NA;2;NA;0;NA;NA
I11S1C9J2V1;11;;NA;3;NA;39;DERECHO;1;4;6;10;SEMESTRES;3450000;NA;2;NA;1;NA;NA
I20S1C1J4V4;20;;NA;3;NA;83;INGENIERIA COMERCIAL;1;5;1;6;TRIMESTRES;5444000;NA;4;NA;0;NA;NA
I426S1C50J4V2;426;;13;1;NA;242;MARKETING DIGITAL;1;3;1;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I426S1C54J1V1;426;;13;1;NA;231;ADMINISTRACION DE EMPRESAS;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I426S1C54J2V1;426;;13;1;NA;231;ADMINISTRACION DE EMPRESAS;1;3;1;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I426S1C54J4V1;426;;13;1;NA;231;ADMINISTRACION DE EMPRESAS;1;3;1;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I20S1C27J2V2;20;;NA;3;NA;189;EDUCACION PARVULARIA;1;5;7;9;SEMESTRES;3224000;NA;2;NA;0;NA;NA
I426S1C55J2V1;426;;13;1;NA;175;ANALITICA DE DATOS;1;3;4;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I426S1C55J4V1;426;;13;1;NA;175;ANALITICA DE DATOS;1;3;4;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I426S1C5J1V4;426;;13;1;NA;313;LOGISTICA OPERATIVA;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I426S1C5J2V4;426;;13;1;NA;313;LOGISTICA OPERATIVA;1;3;1;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I426S1C5J4V2;426;;13;1;NA;313;LOGISTICA OPERATIVA;1;3;1;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I426S1C7J1V3;426;;13;1;NA;269;CONTABILIDAD GENERAL;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I426S1C7J2V3;426;;13;1;NA;269;CONTABILIDAD GENERAL;1;3;1;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I426S1C7J4V2;426;;13;1;NA;269;CONTABILIDAD GENERAL;1;3;1;5;SEMESTRES;1533000;NA;4;NA;0;NA;NA
I11S2C73J2V1;11;;NA;3;NA;200;PROGRAMA DE FORMACION PEDAGOGICA EN ENSEÑANZA MEDIA PARA PROFESIONALES;1;4;7;3;SEMESTRES;2260000;NA;2;NA;1;NA;NA
